811	379
62	62
80	902
81	175
148	759
159	702
607	316
591	641
310	359
58	863
209	987
971	268
856	317
782	530
511	424
230	889
12	626
437	235
296	8
10	663
942	811
859	796
713	474
339	245
714	404
734	366
266	765
924	228
331	919
125	486
82	10
778	651
441	643
735	876
149	898
211	215
737	680
579	963
603	383
372	494
973	393
800	913
529	158
309	791
483	357
154	799
955	604
391	636
773	296
993	175
467	345
85	202
446	75
933	461
299	514
87	465
473	908
992	825
504	690
689	24
846	170
180	541
949	341
105	124
988	506
801	991
5	907
587	387
71	726
560	252
944	821
549	23
485	964
645	86
548	956
84	519
784	557
552	846
129	494
543	667
702	859
468	166
187	153
