973	748
290	734
456	919
815	714
906	740
98	866
458	94
560	820
972	20
724	234
90	444
666	283
301	185
900	429
98	475
223	395
70	772
827	558
749	320
322	730
983	493
177	736
171	329
424	436
311	411
157	680
301	539
956	872
707	579
395	959
459	595
910	983
8	479
743	942
589	639
22	303
992	594
639	249
428	139
230	528
561	712
166	462
934	319
860	622
635	696
430	434
299	252
866	567
7	528
789	25
594	319
167	972
526	679
27	147
684	502
893	510
933	57
911	407
336	319
185	653
627	829
576	215
142	991
752	718
219	315
47	668
906	335
117	936
876	571
394	247
248	792
578	786
947	804
229	118
239	169
232	753
197	252
16	690
283	326
150	920
898	413
994	698
597	336
759	614
911	966
187	490
12	129
883	765
368	254
976	523
508	479
46	185
844	525
894	144
251	744
104	79
370	645
