531	440
245	872
51	406
352	246
628	523
382	727
81	501
731	441
888	795
986	638
532	960
434	968
503	173
709	849
382	461
833	507
543	676
222	599
432	417
303	20
183	543
883	571
369	381
689	436
508	974
895	71
278	587
133	523
832	578
725	17
905	913
405	138
569	550
745	521
776	137
789	255
941	765
531	891
873	756
752	423
186	540
589	907
19	222
881	628
858	137
65	572
649	745
564	40
743	566
225	114
448	161
205	288
240	851
657	267
206	988
664	411
143	182
651	647
989	455
744	652
606	797
24	913
332	678
119	728
721	555
866	21
416	94
845	444
259	116
95	751
734	675
945	968
455	250
17	342
859	66
656	371
991	735
94	300
121	487
315	201
660	134
761	389
678	641
202	196
402	527
442	477
226	345
864	979
877	635
967	677
532	579
790	18
480	55
896	391
777	562
534	470
377	334
